timestamp,filename,predicted_emotion,confidence,top_3_probabilities,all_probabilities,file_size_mb,file_path,analysis_timestamp,model_used,feature_type,dataset_trained_on,analysis_notes,has_visualization,pdf_report_available,audio_duration_seconds,sample_rate_hz,audio_samples
2025-06-18 10:44:43,Recording_2.wav,disgust,0.18,"{""disgust"": 0.18, ""sad"": 0.16, ""surprised"": 0.16}",,,,,,,,,,,,,
2025-06-18 11:11:18,Recording.wav,calm,0.22,"{""calm"": 0.22, ""disgust"": 0.19, ""fearful"": 0.14}",,,,,,,,,,,,,
2025-06-18 11:11:34,Recording.wav,calm,0.22,"{""calm"": 0.22, ""disgust"": 0.19, ""fearful"": 0.14}",,,,,,,,,,,,,
2025-06-18 11:14:52,Recording.wav,calm,0.22,"{""calm"": 0.22, ""disgust"": 0.19, ""fearful"": 0.14}",,,,,,,,,,,,,
2025-06-18 11:17:41,Recording.wav,calm,0.22,"{""calm"": 0.22, ""disgust"": 0.19, ""fearful"": 0.14}",,,,,,,,,,,,,
2025-08-23 12:47:49,Recording.wav,calm,0.22,"{""calm"": 0.22, ""disgust"": 0.19, ""fearful"": 0.14}",,,,,,,,,,,,,
2025-08-23 15:53:51,sample-15s.mp3,happy,0.22,"{""happy"": 0.22, ""fearful"": 0.17, ""disgust"": 0.15}",,,,,,,,,,,,,
2025-08-23 16:02:33,sample-15s.mp3,happy,0.22,"{""happy"": 0.22, ""fearful"": 0.17, ""disgust"": 0.15}","{""angry"": 0.13, ""calm"": 0.08, ""disgust"": 0.15, ""fearful"": 0.17, ""happy"": 0.22, ""neutral"": 0.04, ""sad"": 0.13, ""surprised"": 0.08}",,,,,,,,,,,,
2025-08-23 16:15:30,recording_20250823_161519.wav,calm,0.18,"{""calm"": 0.18, ""angry"": 0.15, ""disgust"": 0.14}","{""angry"": 0.15, ""calm"": 0.18, ""disgust"": 0.14, ""fearful"": 0.11, ""happy"": 0.14, ""neutral"": 0.07, ""sad"": 0.11, ""surprised"": 0.1}",,,,,,,,,,,,
2025-08-23 16:16:14,sample-15s.mp3,happy,0.22,"{""happy"": 0.22, ""fearful"": 0.17, ""disgust"": 0.15}","{""angry"": 0.13, ""calm"": 0.08, ""disgust"": 0.15, ""fearful"": 0.17, ""happy"": 0.22, ""neutral"": 0.04, ""sad"": 0.13, ""surprised"": 0.08}",,,,,,,,,,,,
2025-08-23 16:28:43,sample-15s.mp3,happy,0.22,"{""happy"": 0.22, ""fearful"": 0.17, ""disgust"": 0.15}","{""angry"": 0.13, ""calm"": 0.08, ""disgust"": 0.15, ""fearful"": 0.17, ""happy"": 0.22, ""neutral"": 0.04, ""sad"": 0.13, ""surprised"": 0.08}",,,,,,,,,,,,
2025-08-23 16:29:25,recording_20250823_162919.wav,angry,0.3,"{""angry"": 0.3, ""disgust"": 0.2, ""happy"": 0.18}","{""angry"": 0.3, ""calm"": 0.08, ""disgust"": 0.2, ""fearful"": 0.14, ""happy"": 0.18, ""neutral"": 0.02, ""sad"": 0.06, ""surprised"": 0.02}",,,,,,,,,,,,
2025-08-29 21:15:41,sample-15s.mp3,happy,0.22,"{""happy"": 0.22, ""fearful"": 0.17, ""disgust"": 0.15}","{""angry"": 0.13, ""calm"": 0.08, ""disgust"": 0.15, ""fearful"": 0.17, ""happy"": 0.22, ""neutral"": 0.04, ""sad"": 0.13, ""surprised"": 0.08}",,,,,,,,,,,,
2025-08-29 21:16:20,recording_20250829_211616.wav,disgust,0.23,"{""disgust"": 0.23, ""angry"": 0.16, ""sad"": 0.14}","{""angry"": 0.16, ""calm"": 0.07, ""disgust"": 0.23, ""fearful"": 0.12, ""happy"": 0.1, ""neutral"": 0.09, ""sad"": 0.14, ""surprised"": 0.09}",,,,,,,,,,,,
2025-08-29 22:23:39,sample-15s.mp3,happy,0.22,"{""happy"": 0.22, ""fearful"": 0.17, ""disgust"": 0.15}","{""angry"": 0.13, ""calm"": 0.08, ""disgust"": 0.15, ""fearful"": 0.17, ""happy"": 0.22, ""neutral"": 0.04, ""sad"": 0.13, ""surprised"": 0.08}",0.29,static/audio_uploads\sample-15s.mp3,2025-08-29 22:23:39,RandomForestClassifier,MFCC (40 dimensions),RAVDESS,Audio emotion analysis completed successfully,True,True,19.17,22050.0,422784.0
2025-08-29 22:24:19,recording_20250829_222416.wav,disgust,0.27,"{""disgust"": 0.27, ""angry"": 0.17, ""calm"": 0.16}","{""angry"": 0.17, ""calm"": 0.16, ""disgust"": 0.27, ""fearful"": 0.06, ""happy"": 0.15, ""neutral"": 0.04, ""sad"": 0.1, ""surprised"": 0.05}",0.48,static/audio_uploads\recording_20250829_222416.wav,2025-08-29 22:24:19,RandomForestClassifier,MFCC (40 dimensions),RAVDESS,Real-time voice recording analysis completed,True,True,5.28,22050.0,116424.0
2025-08-29 22:38:01,sample-15s.mp3,happy,0.22,"{""happy"": 0.22, ""fearful"": 0.17, ""disgust"": 0.15}","{""angry"": 0.13, ""calm"": 0.08, ""disgust"": 0.15, ""fearful"": 0.17, ""happy"": 0.22, ""neutral"": 0.04, ""sad"": 0.13, ""surprised"": 0.08}",0.29,static/audio_uploads\sample-15s.mp3,2025-08-29 22:38:01,RandomForestClassifier,MFCC (40 dimensions),RAVDESS,Audio emotion analysis completed successfully,True,True,19.17,22050.0,422784.0
2025-08-29 22:42:56,sample-15s.mp3,happy,0.22,"{""happy"": 0.22, ""fearful"": 0.17, ""disgust"": 0.15}","{""angry"": 0.13, ""calm"": 0.08, ""disgust"": 0.15, ""fearful"": 0.17, ""happy"": 0.22, ""neutral"": 0.04, ""sad"": 0.13, ""surprised"": 0.08}",0.29,static/audio_uploads\sample-15s.mp3,2025-08-29 22:42:56,RandomForestClassifier,MFCC (40 dimensions),RAVDESS,Audio emotion analysis completed successfully,True,True,19.17,22050.0,422784.0
2025-08-29 22:51:41,sample-15s.mp3,happy,0.22,"{""happy"": 0.22, ""fearful"": 0.17, ""disgust"": 0.15}","{""angry"": 0.13, ""calm"": 0.08, ""disgust"": 0.15, ""fearful"": 0.17, ""happy"": 0.22, ""neutral"": 0.04, ""sad"": 0.13, ""surprised"": 0.08}",,,,,,,,,,,,
2025-08-29 22:52:00,recording_20250829_225156.wav,disgust,0.29,"{""disgust"": 0.29, ""calm"": 0.16, ""angry"": 0.13}","{""angry"": 0.13, ""calm"": 0.16, ""disgust"": 0.29, ""fearful"": 0.1, ""happy"": 0.08, ""neutral"": 0.09, ""sad"": 0.11, ""surprised"": 0.04}",,,,,,,,,,,,
2025-08-29 22:53:51,sample-15s.mp3,happy,0.22,"{""happy"": 0.22, ""fearful"": 0.17, ""disgust"": 0.15}","{""angry"": 0.13, ""calm"": 0.08, ""disgust"": 0.15, ""fearful"": 0.17, ""happy"": 0.22, ""neutral"": 0.04, ""sad"": 0.13, ""surprised"": 0.08}",,,,,,,,,,,,
2025-08-29 22:54:02,recording_20250829_225358.wav,disgust,0.23,"{""disgust"": 0.23, ""angry"": 0.13, ""surprised"": 0.13}","{""angry"": 0.13, ""calm"": 0.12, ""disgust"": 0.23, ""fearful"": 0.12, ""happy"": 0.08, ""neutral"": 0.08, ""sad"": 0.11, ""surprised"": 0.13}",,,,,,,,,,,,
2025-10-07 13:20:04,Recording.wav,angry,3.19,"{""angry"": 3.19, ""calm"": 2.24, ""disgust"": 1.27}","{""angry"": 3.19, ""calm"": 2.24, ""disgust"": 1.27, ""fearful"": 1.04, ""happy"": 0.89, ""neutral"": 0.21, ""sad"": 1.15, ""surprised"": 0.8}",,,,,,,,,,,,
2025-10-07 13:20:31,Recording_2.wav,angry,3.73,"{""angry"": 3.73, ""sad"": 1.99, ""surprised"": 1.74}","{""angry"": 3.73, ""calm"": 1.16, ""disgust"": 0.53, ""fearful"": 0.87, ""happy"": 0.18, ""neutral"": 0.36, ""sad"": 1.99, ""surprised"": 1.74}",,,,,,,,,,,,
2025-10-07 13:20:57,recording_20251007_132052.wav,angry,4.06,"{""angry"": 4.06, ""surprised"": 2.0, ""happy"": 1.53}","{""angry"": 4.06, ""calm"": 0.48, ""disgust"": 1.28, ""fearful"": 0.55, ""happy"": 1.53, ""neutral"": 0.25, ""sad"": 0.92, ""surprised"": 2.0}",,,,,,,,,,,,
2025-10-07 14:25:29,Recording.wav,calm,0.16,"{""angry"": 0.16, ""calm"": 0.16, ""disgust"": 0.16}","{""angry"": 0.16, ""calm"": 0.16, ""disgust"": 0.16, ""fearful"": 0.16, ""happy"": 0.1072, ""neutral"": 0.0608, ""sad"": 0.0832, ""surprised"": 0.10880000000000001}",,,,,,,,,,,,
2025-10-07 14:25:45,Recording_2.wav,angry,0.1529051987767584,"{""angry"": 0.1529051987767584, ""calm"": 0.1529051987767584, ""fearful"": 0.1529051987767584}","{""angry"": 0.1529051987767584, ""calm"": 0.1529051987767584, ""disgust"": 0.1452599388379205, ""fearful"": 0.1529051987767584, ""happy"": 0.051987767584097865, ""neutral"": 0.07951070336391437, ""sad"": 0.13608562691131498, ""surprised"": 0.12844036697247707}",,,,,,,,,,,,
2025-10-07 14:26:11,recording_20251007_142609.wav,sad,2.21,"{""sad"": 2.21, ""calm"": 1.78, ""angry"": 1.4}","{""angry"": 1.4, ""calm"": 1.78, ""disgust"": 1.25, ""fearful"": 0.87, ""happy"": 0.78, ""neutral"": 0.6, ""sad"": 2.21, ""surprised"": 0.63}",,,,,,,,,,,,
2025-10-07 14:35:57,Recording_2.wav,disgust,0.1934615384615384,"{""disgust"": 0.19346153846153846, ""fearful"": 0.1503846153846154, ""sad"": 0.13538461538461538}","{""angry"": 0.1251923076923077, ""calm"": 0.085, ""disgust"": 0.19346153846153846, ""fearful"": 0.1503846153846154, ""happy"": 0.1126923076923077, ""neutral"": 0.0725, ""sad"": 0.13538461538461538, ""surprised"": 0.12538461538461537}",,,,,,,,,,,,
2025-10-07 14:36:15,Recording.wav,fearful,0.1828846153846154,"{""fearful"": 0.1828846153846154, ""disgust"": 0.16596153846153847, ""angry"": 0.1501923076923077}","{""angry"": 0.1501923076923077, ""calm"": 0.1025, ""disgust"": 0.16596153846153847, ""fearful"": 0.1828846153846154, ""happy"": 0.1076923076923077, ""neutral"": 0.0825, ""sad"": 0.10788461538461538, ""surprised"": 0.10038461538461538}",,,,,,,,,,,,
2025-10-07 14:39:32,Recording_2.wav,disgust,0.1934615384615384,"{""disgust"": 0.19346153846153846, ""fearful"": 0.1503846153846154, ""sad"": 0.13538461538461538}","{""angry"": 0.1251923076923077, ""calm"": 0.085, ""disgust"": 0.19346153846153846, ""fearful"": 0.1503846153846154, ""happy"": 0.1126923076923077, ""neutral"": 0.0725, ""sad"": 0.13538461538461538, ""surprised"": 0.12538461538461537}",,,,,,,,,,,,
2025-10-07 14:39:44,Recording.wav,fearful,0.1828846153846154,"{""fearful"": 0.1828846153846154, ""disgust"": 0.16596153846153847, ""angry"": 0.1501923076923077}","{""angry"": 0.1501923076923077, ""calm"": 0.1025, ""disgust"": 0.16596153846153847, ""fearful"": 0.1828846153846154, ""happy"": 0.1076923076923077, ""neutral"": 0.0825, ""sad"": 0.10788461538461538, ""surprised"": 0.10038461538461538}",,,,,,,,,,,,
